"UserID","Question","Task","Type","Technique","Seconds","Score","Error","QuestionText","ResponseText","ResponseCode"
"R_25tMlkx0LAQHnqo",3,1,"Timed","Circle Packing",31.792,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_vq71oQyy45dYJy1",3,1,"Timed","Circle Packing",9.945,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3PgFKIO61fhAfeh",3,1,"Timed","Circle Packing",13.468,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1IhliPn2Eok0Orb",3,1,"Timed","Circle Packing",13.46,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_0dkeqhWcTjAZ6XX",3,1,"Timed","Circle Packing",32.015,0,NA,"Which of the highlighted elements has the highest value?","Unsure",4
"R_5BWF1xvHubsKfJL",3,1,"Timed","Circle Packing",7.681,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1qg1fLzWSYWJ5CK",3,1,"Timed","Circle Packing",7.196,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1LRJRJYNqZM9Gr1",3,1,"Timed","Circle Packing",21.157,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_AajHQGTpaomEOul",3,1,"Timed","Circle Packing",18.786,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1KpCy6fCwglHngv",3,1,"Timed","Circle Packing",13.083,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_24CtBmQNoFCIdch",3,1,"Timed","Circle Packing",21.661,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1hB8RMGbOxAG5Bm",3,1,"Timed","Circle Packing",33.269,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1f11OqTRbLV1aZ1",3,1,"Timed","Circle Packing",13.37,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_Od8xp3cMlYjI5Ud",3,1,"Timed","Circle Packing",14.301,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2WvrsWkseXH6cla",3,1,"Timed","Circle Packing",39.678,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_wMLcWGuM9l19ZwB",3,1,"Timed","Circle Packing",25.479,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_5pudnT9rRVi5So1",3,1,"Timed","Circle Packing",10.479,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_XRok4d9TQFjfTSV",3,1,"Timed","Circle Packing",17.467,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_269Ff6rVuAbaNhd",3,1,"Timed","Circle Packing",25.818,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_23V2nOJKSHdxPiq",3,1,"Timed","Circle Packing",29.126,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2axiMt5L8ARsI9m",3,1,"Timed","Circle Packing",18.65,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1n8RjYB7ylMKQT7",3,1,"Timed","Circle Packing",14.796,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2us1VTNzoRCHSkL",3,1,"Timed","Circle Packing",41.294,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2ZPkPWB0wEI1u9D",3,1,"Timed","Circle Packing",6.228,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2qDbkTc67Gglptp",3,1,"Timed","Circle Packing",6.642,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1P5BkOIRfQHs6UY",3,1,"Timed","Circle Packing",32.519,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
